"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"0500000US08001","Adams County, Colorado","519572",
"0500000US08003","Alamosa County, Colorado","16376",
"0500000US08005","Arapahoe County, Colorado","655070",
"0500000US08007","Archuleta County, Colorado","13359",
"0500000US08009","Baca County, Colorado","3506",
"0500000US08011","Bent County, Colorado","5650",
"0500000US08013","Boulder County, Colorado","330758",
"0500000US08014","Broomfield County, Colorado","74112",
"0500000US08015","Chaffee County, Colorado","19476",
"0500000US08017","Cheyenne County, Colorado","1748",
"0500000US08019","Clear Creek County, Colorado","9397",
"0500000US08021","Conejos County, Colorado","7461",
"0500000US08023","Costilla County, Colorado","3499",
"0500000US08025","Crowley County, Colorado","5922",
"0500000US08027","Custer County, Colorado","4704",
"0500000US08029","Delta County, Colorado","31196",
"0500000US08031","Denver County, Colorado","715522",
"0500000US08033","Dolores County, Colorado","2326",
"0500000US08035","Douglas County, Colorado","357978",
"0500000US08037","Eagle County, Colorado","55731",
"0500000US08039","Elbert County, Colorado","26062",
"0500000US08041","El Paso County, Colorado","730395",
"0500000US08043","Fremont County, Colorado","48939",
"0500000US08045","Garfield County, Colorado","61685",
"0500000US08047","Gilpin County, Colorado","5808",
"0500000US08049","Grand County, Colorado","15717",
"0500000US08051","Gunnison County, Colorado","16918",
"0500000US08053","Hinsdale County, Colorado","788",
"0500000US08055","Huerfano County, Colorado","6820",
"0500000US08057","Jackson County, Colorado","1379",
"0500000US08059","Jefferson County, Colorado","582910",
"0500000US08061","Kiowa County, Colorado","1446",
"0500000US08063","Kit Carson County, Colorado","7087",
"0500000US08065","Lake County, Colorado","7436",
"0500000US08067","La Plata County, Colorado","55638",
"0500000US08069","Larimer County, Colorado","359066",
"0500000US08071","Las Animas County, Colorado","14555",
"0500000US08073","Lincoln County, Colorado","5675",
"0500000US08075","Logan County, Colorado","21528",
"0500000US08077","Mesa County, Colorado","155703",
"0500000US08079","Mineral County, Colorado","865",
"0500000US08081","Moffat County, Colorado","13292",
"0500000US08083","Montezuma County, Colorado","25849",
"0500000US08085","Montrose County, Colorado","42679",
"0500000US08087","Morgan County, Colorado","29111",
"0500000US08089","Otero County, Colorado","18690",
"0500000US08091","Ouray County, Colorado","4874",
"0500000US08093","Park County, Colorado","17390",
"0500000US08095","Phillips County, Colorado","4530",
"0500000US08097","Pitkin County, Colorado","17358",
"0500000US08099","Prowers County, Colorado","11999",
"0500000US08101","Pueblo County, Colorado","168162",
"0500000US08103","Rio Blanco County, Colorado","6529",
"0500000US08105","Rio Grande County, Colorado","11539",
"0500000US08107","Routt County, Colorado","24829",
"0500000US08109","Saguache County, Colorado","6368",
"0500000US08111","San Juan County, Colorado","705",
"0500000US08113","San Miguel County, Colorado","8072",
"0500000US08115","Sedgwick County, Colorado","2404",
"0500000US08117","Summit County, Colorado","31055",
"0500000US08119","Teller County, Colorado","24710",
"0500000US08121","Washington County, Colorado","4817",
"0500000US08123","Weld County, Colorado","328981",
"0500000US08125","Yuma County, Colorado","9988",
